Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
"Выставочный зал ""Музей"" г.Калтан",139321,"652740 Кемеровская обл., г.Калтан, пр.Мира, 33б",0,0,0,27,3.6,7,1
Районный историко-краеведческий музей Советского муниципального района,142517,"297200 Республика Крым, п.Советский, ул.30-летия Победы, 13",4683,231,0,8,3,3,1
Моск.гос. картинная галерея И.Глазунова,132924,"119019 г.Москва, ул.Волхонка, 13",4190,683,3038,16,116.7,118,2
Томаринский краеведческий музей,136412,"694820 Сахалинская обл., г.Томари, ул.А.Буюклы, 4а",695,0,690,6,0.8,1,1
Марьяновский ист.-художественный музей,120336,"646040 Омская обл., п.Марьяновка, ул.Ленина, 12",10817,1948,3703,38,21,10,3
"Ист.-художественный музей ""Китеж""",133503,"606755 Нижегородская обл., Воскресенский р-н, с.Владимирское, ул.Пролетарская, 37",1681,535,1990,8,10.7,36,3
Дом-музей декабристов,116974,"640018 г.Курган, ул.Климова, 80-а",0,0,0,4,12.8,8,1
Горнозавод.краеведч.музей им.Старостина,127998,"618820 Пермский край, г.Горнозаводск, ул.Свердлова, 59",37308,10795,10010,35,7,10,1
Сямженский районный краеведческий музей,139016,"162220 Вологодская обл., Сямженский р-н, с.Сямжа, ул.Советская, 24",3474,1463,1150,10,3.5,3,1
Богучарский ист.-краеведческий музей,114108,"396790 Воронежская обл., г.Богучар, ул.Ленина, 34а",20878,12307,0,92,8.7,7,4
Ширинский краеведч. музей им.Д.Лалетина,127748,"655200 Респ.Хакасия, с.Шира, ул.Октябрьская, 81",16627,12444,5325,18,11.8,8,4
Центр им.И.Грабаря Костромской ф-л,116654,"156000 г.Кострома, Пряничные ряды, 11",0,0,0,0,0,20,2
