Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Музей одной картины им.Г.В.Мясникова,120974,"440010 г.Пенза, ул.Кирова, 11",0,0,0,2,15.8,3,1
Ишимбайский историко-краеведческий музей,142752,"453215 Респ.Башкортостан, г.Ишимбай, пр.Ленина, 16",2930,4607,0,30,6.7,5,1
Северский историко-краеведческий музей,130613,"353240 Краснодарский край, ст-ца Северская, ул.Ленина, 132",2913,1778,0,23,7.7,4,1
Средневолжский филиал,142381,"443068 г.Самара, ул.Ново-Садовая, 149",0,0,0,11,0,6,6
"Историко-культурный центр ""Дворцовый комплекс Ольденбургских""",141976,"396020 Воронежская обл., п.Рамонь, ул.Мосина, 21",149,16,0,2,46.8,34,6
Калязинский краеведческий музей,115488,"171571 Тверская обл., г.Калязин, пл.Ногина, 1",11054,5807,1122,6,18.8,6,2
Бабушкинский районный исторический музей,113868,"161350 Вологодская обл.,Бабушкинский р-н,с.им.Бабушкина,ул.Бабушкина,46",713,37,713,10,3.8,3,1
Атяшевский краеведческий музей,138901,"431800 Респ.Мордовия, Атяшевский р-н, п.Атяшево, ул.Центральная, 28",519,2713,420,10,4.6,4,1
"Гос.ист-лит.муз-зап.А.Пушкина, Б/Вяземы",119794,"143050 Московская обл., Одинцовский р-н, п.Большие Вяземы",16655,718,9720,18,186.3,197,15
Луховицкий историко-художественный музей,119277,"140500 Московская обл., г.Луховицы, ул.Советская, 8а",11471,3195,0,28,8,16,3
Зеленоградский краеведческий музей,130990,"238530 Калининградская обл., г.Зеленоградск, ул.Ленина, 6",932,214,1146,9,4.3,9,1
Матвеево-Курганский краеведческий музей,131692,"346970 Ростовская обл., Матвеево-Курганский р-н, п.Матвеев Курган, ул.1 Мая, 18",1834,1448,1834,7,8.5,6,1
"Литер.-мемор. музей Горького,Н.Новгород",114269,"603155 г.Нижний Новгород, ул.Минина, 26",104921,9779,13265,26,41.5,25,1
Вилегодский районный краеведческий музей,113299,"165680 Архангельская обл.,Вилегодский р-н,с.Ильинско-Подомское,ул.Советская,12",12247,3476,100,26,7.1,15,4
Электростальский музейно-выст.центр,134648,"144003 Московская обл., г.Электросталь, ул.Расковой, 37",7106,4971,3887,39,21,32,3
"Этнокультурный центр ""Калевалатало""",141961,"186910 Респ.Карелия, п.Калевала, ул.Ленина, 8",1740,464,2204,23,2.5,4,3
Гос.Северный морской музей,131014,"163061 г.Архангельск, наб.Северной Двины, 80",16756,9538,4555,11,32.9,23,1
Калужский обл. краеведческий музей,115670,"248600 г.Калуга, ул.Пушкина, 14",99411,67563,2074,10,12.8,30,1
Музей истории Адлерского р-на г.Сочи,110817,"354341 Краснодарский край, г.Сочи, ул.Таврическая, 9",15945,3951,0,13,12,5,1
Новолялинский краеведческий музей,130056,"624420 Свердловская обл., г.Новая Ляля, Клубный переулок, 1",2699,578,0,41,2.6,2,1
"Музей памяти воинов-интернац.""Шурави""",122594,"620017 г.Екатеринбург, пр.Космонавтов, 26",7906,1136,2016,31,16,7,1
"Музейно-выставочный центр ""Музей моды""",138579,"111020 г.Москва, ул.Крюковская,  23",1511,536,2047,14,11.7,14,0
Алапаевский музейный комплекс,136605,"624600 Свердловская обл., г.Алапаевск, ул.Пушкина, 49",3157,1347,3157,28,2.7,4,1
Музей Г.Сулейманова с.Туркменово,138051,"453643 Респ.Башкортостан, Баймакский р-н, с.Туркменово, ул.С.Юлаева, 20",750,179,0,5,0.4,1,1
"Ытык-Кельский музей-заповедник ""Татта""",128632,"678650 Респ.Саха(Якутия),Таттинский р-н,с.Ытык-Кюель,пер.Хадаайи,1",6991,406,401,15,8.8,6,20
Музей нар.творч-ва и быта Новошешминского муниципального района,139213,"423185 Респ.Татарстан, Новошешминский р-н, с.Зирекле, ул.Ленина, 66",2225,246,15,16,2.3,4,1
Музей стекла и хрусталя г.Никольска,132842,"442680 Пензенская обл., г.Никольск, ул.Комсомольская, 21",14179,329,4470,25,11.8,14,1
"Мем.комплекс ""Партизанская поляна""",113196,"241043 Брянская обл., Фокинский р-н, п/о Белобережская турбаза, мем.комплекс ""Партизанская поляна""",457,320,268,22,80.1,21,1
Сибирский филиал,140865,"634009 г.Томск, Набережная реки Томи, 27",0,0,0,22,1.9,7,2
Тульский историко-архитектурный музей,129851,"300041 г.Тула, ул.Ленина, 31а",8605,896,7289,38,6.6,33,4
Невинномысский ист.-краеведческий музей,112009,"357100 Ставропольский край, г.Невинномысск, ул.Гагарина, 43б",9286,3354,5342,22,17.2,12,1
Гос.музей худ.культуры Новгородск.земли,134169,"173007 г.Великий Новгород, Десятинный монастырь, 3",6402,1695,6157,77,17.9,27,3
Егорлыкский историко-краеведческий музей,135591,"347660 Ростовская обл., Егорлыкский р-н, ст-ца Егорлыкская, ул.Грицика, 119",3120,677,900,12,3.2,3,1
Салаватская картинная галерея,125013,"453261 Респ.Башкортостан, г.Салават, ул.Первомайская, 3",274,33,291,28,6,5,1
"Филиал Усадьба ""Ботик Петра I""",124294,"152021 Ярославская обл., Переславский р-н, Веськовский с/с, м.Ботик",0,0,0,6,124.9,14,7
Таврический краеведческий музей,135250,"646800 Омская обл., п.Таврическое, ул.Советская, 40",9845,4739,5148,98,31.4,9,3
Дом-музей художника Ф.Сычкова,126548,"431310 Респ.Мордовия, Ковылкинский р-н, с.Кочелаево",0,0,0,0,1.8,3,1
Галичский краеведческий музей,116480,"157201 Костромская обл., г.Галич, ул.Луначарского, 11",12992,5316,1947,32,6.9,10,3
Окуловский районный краеведческий музей,136215,"174350 Новгородская обл., г.Окуловка, ул.Ленина, 50",1623,926,0,18,3.2,7,1
Музей истории и культуры гп Малаховка,132159,"140032 Московская обл., Люберецкий р-н, п.Малаховка, ул.Шоссейная, 40",2777,2734,200,32,1.1,15,1
Музей истории г.Владикавказа,126887,"362000 г.Владикавказ, ул.Кирова, 64",18556,22328,0,9,3.4,6,1
